State,Title,Description,Type
OH,Electric Vehicle Supply Equipment (EVSE) Lease Pilot Program - FirstEnergy,"FirstEnergy residential customers can lease a Level 2 EVSE for a monthly rate for three years. Included in the lease is the installation of the EVSE and a repair or replacement guarantee for the life of the agreement. For more information, including terms and conditions, see the FirstEnergy Electric Vehicle Charger Lease website.",Utility/Private Incentives
NE,All-Electric Vehicle (EV) and Electric Vehicle Supply Equipment (EVSE) Rebate - OPPD,"Omaha Public Power District (OPPD) offers residential customers rebates of $2,500 toward the purchase of a new EV and qualified Level 2 EVSE, $500 toward the purchase of qualified Level 2 EVSE, and $100 for the pre-wiring necessary for EVSE installation. Participants must purchase the EVSE through OPPD. Eligible EVs and EVSE must be purchased after January 31, 2020. Rebates are available on a first-come, first-served basis. For more information, including rebate availability, see the OPPD <a href=""https://www.oppd.com/residential/products-services/electric-vehicle-ev-rebate-program/"">EV Rebate Program</a> website.",Utility/Private Incentives
CA,Alternative Fuel Vehicle (AFV) Rebate - Antelope Valley,"The Antelope Valley Air Quality Management District’s (AVAQMD) AFV Program offers rebates of up to $1,000 to residents toward the purchase or lease of a new AFV. Additional rebates of up to $1,500 are available for income-eligible residents. Qualifying technologies include, but are not limited to, all-electric, plug-in hybrid electric, and compressed natural gas. AFVs purchased or leased outside of the AVAQMD jurisdiction are eligible for half of the rebate amount. For more information, including how to apply, see the AVAQMD <a href=""https://avaqmd.ca.gov/alternative-fuel-vehicle-program"">AFV Program</a> website.",State Incentives
CA,Clean Vehicle Rebate - El Dorado County,"The El Dorado County Air Quality Management District (AQMD) offers rebates of up to $1,000 to residents toward the purchase or lease of a new zero emission vehicle (ZEV) or partial-ZEV, as defined by the California Air Resources Board. To qualify, vehicles must be owned or leased for at least three years within El Dorado County. For more information, see the AQMD <a href=""https://www.edcgov.us/Government/AirQualityManagement/Pages/grants_and_incentive_refunds.aspx"">Grants and Incentives</a> website.",State Incentives
CA,Electric Vehicle Supply Equipment (EVSE) Rebates - Anaheim Public Utilities (APU),"APU provides rebates of up to $500 for residential, commercial, and industrial customers for the purchase and installation of EVSE at their home or business. Customers are eligible for up to five rebates.</p><p>APU offers rebates to commercial, industrial, and municipal customers of up to $5,000 per charger to purchase or install publicly-available Level 2 EVSE, or up to $10,000 to purchase or install Level 2 EVSE at schools or affordable housing, or publicly-available direct current (DC) fast chargers. Rebates are limited to a maximum of four EVSE per customer per year. Additional terms and conditions apply.</p><p>APU will also pay for any associated permit fees. For more information, including how to apply, see the <a href=""http://www.anaheim.net/593/Personal-EV-Charger-Rebate"">Personal EV Charger Rebate </a> and <a href=""http://www.anaheim.net/3312/Public-EV-Charger-Rebate"">Public EV Charger Rebate </a> websites.
",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - Azusa Light & Water,"Azusa Light & Water offers a $0.05 per kilowatt-hour (kWh) discount for electricity used to charge PEVs during off peak times. Customers must use a minimum of 50 kWh to receive the discount. For more information, see the Azusa Light & Water <a href=""https://www.ci.azusa.ca.us/1191/Schedule-EV"">Schedule EV</a> website.",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - Burbank Water and Power (BWP),"BWP offers a discounted rate to residential or multi-family customers for electricity used to charge PEVs. Customers must remain on the PEV time-of-use rate for a minimum of one year. For more information, see the BWP <a href=""https://www.burbankwaterandpower.com/electric-vehicles"">Electric Vehicles</a> website.",Utility/Private Incentives
CA, Establishment of Zero Emission Vehicle (ZEV) and Near-ZEV Component Rebates,"The California Air Resources Board (ARB) will establish the Zero Emission Assurance Project (ZAP) to offer rebates for the replacement of a battery, fuel cell, or other related vehicle component for eligible used ZEVs and near-ZEVs. Rebates will be limited to one per vehicle. By January 1, 2024, ARB must publish a report to the legislature detailing the number of rebates awarded, the emissions benefits of the ZAP, and the impacts of the ZAP on low-income consumer decisions to purchase zero and near-zero emissions vehicles. A ZEV is defined as a vehicle that produces no criteria pollutant, toxic air contaminant, or greenhouse gas emissions when stationary or operating. A near-ZEV is a vehicle that uses zero emission technologies, uses technologies that provide a pathway to zero emission operations, or incorporates other technologies that significantly reduce vehicle emissions. Rebates will be available through July 31, 2025. (Reference <a href=""http://www.oal.ca.gov/"">California Health and Safety Code</a> 44274.9)",Laws and Regulations
CO,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Colorado established ZEV standards, pursuant to Colorado’s authority under Section 177 of the Clean Air Act, Title 42 of the <a href=""https://www.govinfo.gov/app/collection/uscode"">U.S. Code</a>, section 7507. The rule will be adopted into the <a href=""https://www.sos.state.co.us/CCR/Welcome.do"">Code of Colorado Regulations</a> before October 30, 2019, and will be effective in 2022. All Model Year 2022 and later passenger cars and light- and medium-duty vehicles must meet California motor vehicle emissions and compliance requirements specified in Title 13 of the <a href=""https://oal.ca.gov/"">California Code of Regulations</a>. For more information, see the Colorado Department of Public Health and Environment <a href=""https://www.colorado.gov/pacific/cdphe/Low_Emission_Vehicle_Standard"">LEV Standards</a> website. (Reference <a href=""https://www.colorado.gov/governor/sites/default/files/inline-files/b_2019-002_supporting_a_transition_to_zero_emissions_vehicles.pdf"">Executive Order</a> B 2019 002, 2019 and 5 <a href=""http://www.sos.state.co.us/CCR/Welcome.do"">Code of Colorado Regulations</a> 1001-24)",Laws and Regulations
OR,Plug-In Electric Vehicle (PEV) Rebate,"The Clean Vehicle Rebate Program provides rebates to Oregon residents, businesses, non-profit organizations, and government agencies for the purchase or lease of PEVs. New PEVs with a battery capacity greater than 10 kilowatt-hours (kWh) are eligible for a rebate of $2,500 and new PEVs with a battery capacity of less than 10 kWh are eligible for a rebate of $1,500. Oregon residents that meet low or moderate household income requirements are eligible for rebates of $2,500 for the purchase or lease of used all-electric vehicles (EVs) and $5,000 for the purchase or lease of new EVs. New zero-emission electric motorcycles are eligible for a rebate of $750. For more information, see the <a href=""https://www.oregon.gov/deq/aq/programs/Pages/ZEV-Rebate.aspx"">Clean Vehicle Rebate Program</a> website. (Reference <a href=""https://www.oregonlegislature.gov/"">Oregon Revised Statutes</a> 468.148-468.157)",State Incentives
MS,Plug-In Electric Vehicle and Hybrid Electric Vehicle (HEV) Fees,"In addition to standard registration fees, all-electric vehicle owners must pay an annual fee of $150. Plug-in hybrid electric vehicle and HEV owners must pay an annual fee of $75. Beginning July 1, 2021, the Mississippi Department of Revenue will increase the fee annually to account for inflation, equal to the increase in the Consumer Price Index for urban consumers for the prior year. (Reference <a href=""http://billstatus.ls.state.ms.us/20181E/pdf/mainmenu.htm"">House Bill</a> 1, 2018, and <a href=""http://www.lexisnexis.com/hottopics/mscode/"">Mississippi Code</a> 27-19-23)",Laws and Regulations
MN,Plug-In Electric Vehicle (PEV) Charging Rate Reduction and EVSE Rebate - LREC,"Lake Region Electric Cooperative (LREC) members enrolled in the ChargeWise program receive a reduced rate for the electricity used to charge PEVs between specified off-peak hours. To be eligible for the reduced rate, vehicles must use a separate sub-metered circuit.</p><p>LREC also offers a rebate of up to $500 for the installation of Level 1 or Level 2 electric vehicle supply equipment (EVSE).</p><p>For more information, see the LREC <a href=""https://www.lrec.coop/products-service/chargewise"">ChargeWise</a> website.",Utility/Private Incentives
VT,Plug-In Electric Vehicle (PEV) Incentives - Burlington Electric Department (BED),"BED provides low- or no-interest loans for the purchase of a new PEV. Eligible customers can also apply for a rebate of up to $2,400 towards the purchase of a new PEV or $800 for the purchase of a used PEV. For more information, see the BED <a href=""https://www.burlingtonelectric.com/ev#financing"">Electric Vehicles</a> website.",Utility/Private Incentives
VT,Plug-In Electric Vehicle (PEV) Charging Rate Reduction and EVSE Rebate - BED,"Burlington Electric Department (BED) offers a per kilowatt-hour discount for residential customers to charge PEVs during off-peak times. To qualify, customers must install a WiFi enabled electric vehicle supply equipment (EVSE).</p><p>BED also offers a rebate of $400 for the purchase and installation of a qualifying Wifi enabled EVSE for customers that have enrolled in BED’s Residential EV Rate. Eligible applicants must have purchased EVSE within 60 days of the acquisition of the EV.</p><p>For more information, see the BED <a href=""https://www.burlingtonelectric.com/evrate"">EV Rate</a> website.",Utility/Private Incentives
